Round,Pick Number,Current Team,Original Team,Year
1,1,Titans,Titans,2025
1,2,Browns,Browns,2025
1,3,Giants,Giants,2025
1,4,Patriots,Patriots,2025
1,5,Jaguars,Jaguars,2025
1,6,Raiders,Raiders,2025
1,7,Jets,Jets,2025
1,8,Panthers,Panthers,2025
1,9,Saints,Saints,2025
1,10,Bears,Bears,2025
1,11,49ers,49ers,2025
1,12,Cowboys,Cowboys,2025
1,13,Dolphins,Dolphins,2025
1,14,Colts,Colts,2025
1,15,Falcons,Falcons,2025
1,16,Cardinals,Cardinals,2025
1,17,Bengals,Bengals,2025
1,18,Seahawks,Seahawks,2025
1,19,Buccaneers,Buccaneers,2025
1,20,Broncos,Broncos,2025
1,21,Steelers,Steelers,2025
1,22,Chargers,Chargers,2025
1,23,Packers,Packers,2025
1,24,Vikings,Vikings,2025
1,25,Texans,Texans,2025
1,26,Rams,Rams,2025
1,27,Ravens,Ravens,2025
1,28,Lions,Lions,2025
1,29,Commanders,Commanders,2025
1,30,Bills,Bills,2025
1,31,Chiefs,Chiefs,2025
1,32,Eagles,Eagles,2025
2,33,Browns,Browns,2025
2,34,Giants,Giants,2025
2,35,Titans,Titans,2025
2,36,Jaguars,Jaguars,2025
2,37,Raiders,Raiders,2025
2,38,Patriots,Patriots,2025
2,39,Bears,Panthers,2025
2,40,Saints,Saints,2025
2,41,Bears,Bears,2025
2,42,Jets,Jets,2025
2,43,49ers,49ers,2025
2,44,Cowboys,Cowboys,2025
2,45,Colts,Colts,2025
2,46,Falcons,Falcons,2025
2,47,Cardinals,Cardinals,2025
2,48,Dolphins,Dolphins,2025
2,49,Bengals,Bengals,2025
2,50,Seahawks,Seahawks,2025
2,51,Broncos,Broncos,2025
2,52,Seahawks,Steelers,2025
2,53,Buccaneers,Buccaneers,2025
2,54,Packers,Packers,2025
2,55,Chargers,Chargers,2025
2,56,Bills,Vikings,2025
2,57,Panthers,Rams,2025
2,58,Texans,Texans,2025
2,59,Ravens,Ravens,2025
2,60,Lions,Lions,2025
2,61,Commanders,Commanders,2025
2,62,Bills,Bills,2025
2,63,Chiefs,Chiefs,2025
2,64,Eagles,Eagles,2025
3,65,Giants,Giants,2025
3,66,Chiefs,Titans,2025
3,67,Browns,Browns,2025
3,68,Raiders,Raiders,2025
3,69,Patriots,Patriots,2025
3,70,Jaguars,Jaguars,2025
3,71,Saints,Saints,2025
3,72,Bears,Bears,2025
3,73,Jets,Jets,2025
3,74,Panthers,Panthers,2025
3,75,49ers,49ers,2025
3,76,Cowboys,Cowboys,2025
3,77,Patriots,Falcons,2025
3,78,Cardinals,Cardinals,2025
3,79,Texans,Dolphins,2025
3,80,Colts,Colts,2025
3,81,Bengals,Bengals,2025
3,82,Seahawks,Seahawks,2025
3,83,Steelers,Steelers,2025
3,84,Buccaneers,Buccaneers,2025
3,85,Broncos,Broncos,2025
3,86,Chargers,Chargers,2025
3,87,Packers,Packers,2025
3,88,Jaguars,Vikings,2025
3,89,Texans,Texans,2025
3,90,Rams,Rams,2025
3,91,Ravens,Ravens,2025
3,92,Seahawks,Lions,2025
3,93,Saints,Commanders,2025
3,94,Browns,Bills,2025
3,95,Chiefs,Chiefs,2025
3,96,Eagles,Eagles,2025
3,97,Vikings,Vikings,2025
3,98,Dolphins,Dolphins,2025
3,99,Giants,Giants,2025
3,100,49ers,49ers,2025
3,101,Rams,Rams,2025
3,102,Lions,Lions,2025
4,103,Titans,Titans,2025
4,104,Browns,Browns,2025
4,105,Giants,Giants,2025
4,106,Patriots,Patriots,2025
4,107,Jaguars,Jaguars,2025
4,108,Raiders,Raiders,2025
4,109,Bills,Bears,2025
4,110,Jets,Jets,2025
4,111,Panthers,Panthers,2025
4,112,Saints,Saints,2025
4,113,49ers,49ers,2025
4,114,Panthers,Cowboys,2025
4,115,Cardinals,Cardinals,2025
4,116,Dolphins,Dolphins,2025
4,117,Colts,Colts,2025
4,118,Falcons,Falcons,2025
4,119,Bengals,Bengals,2025
4,120,Titans,Seahawks,2025
4,121,Buccaneers,Buccaneers,2025
4,122,Broncos,Broncos,2025
4,123,Steelers,Steelers,2025
4,124,Packers,Packers,2025
4,125,Chargers,Chargers,2025
4,126,Jaguars,Vikings,2025
4,127,Rams,Rams,2025
4,128,Commanders,Texans,2025
4,129,Ravens,Ravens,2025
4,130,Lions,Lions,2025
4,131,Saints,Commanders,2025
4,132,Bills,Bills,2025
4,133,Chiefs,Chiefs,2025
4,134,Eagles,Eagles,2025
4,135,Dolphins,Dolphins,2025
4,136,Ravens,Ravens,2025
4,137,Seahawks,Seahawks,2025
4,138,49ers,49ers,2025
5,139,Vikings,Browns,2025
5,140,Panthers,Giants,2025
5,141,Titans,Titans,2025
5,142,Jaguars,Jaguars,2025
5,143,Raiders,Raiders,2025
5,144,Patriots,Patriots,2025
5,145,Jets,Jets,2025
5,146,Panthers,Panthers,2025
5,147,49ers,Saints,2025
5,148,Bears,Bears,2025
5,149,Cowboys,Cowboys,2025
5,150,Dolphins,Dolphins,2025
5,151,Colts,Colts,2025
5,152,Cardinals,Cardinals,2025
5,153,Bengals,Bengals,2025
5,154,Giants,Seahawks,2025
5,155,Dolphins,Broncos,2025
5,156,Steelers,Steelers,2025
5,157,Buccaneers,Buccaneers,2025
5,158,Chargers,Chargers,2025
5,159,Packers,Packers,2025
5,160,49ers,Vikings,2025
5,161,Eagles,Texans,2025
5,162,Jets,Rams,2025
5,163,Panthers,Ravens,2025
5,164,Eagles,Lions,2025
5,165,Eagles,Commanders,2025
5,166,Browns,Bills,2025
5,167,Titans,Chiefs,2025
5,168,Eagles,Eagles,2025
5,169,Bills,Bills,2025
5,170,Bills,Cowboys,2025
5,171,Patriots,Cowboys,2025
5,172,Seahawks,Seahawks,2025
5,173,Bills,Bills,2025
5,174,Cowboys,Cowboys,2025
5,175,Seahawks,Seahawks,2025
5,176,Ravens,Ravens,2025
6,177,Bills,Giants,2025
6,178,Titans,Titans,2025
6,179,Texans,Browns,2025
6,180,Raiders,Raiders,2025
6,181,Chargers,Patriots,2025
6,182,Jaguars,Jaguars,2025
6,183,Ravens,Panthers,2025
6,184,Saints,Saints,2025
6,185,Steelers,Bears,2025
6,186,Jets,Jets,2025
6,187,Vikings,49ers,2025
6,188,Titans,Cowboys,2025
6,189,Colts,Colts,2025
6,190,Rams,Falcons,2025
6,191,Broncos,Cardinals,2025
6,192,Browns,Dolphins,2025
6,193,Bengals,Bengals,2025
6,194,Jaguars,Seahawks,2025
6,195,Rams,Steelers,2025
6,196,Lions,Buccaneers,2025
6,197,Broncos,Broncos,2025
6,198,Packers,Packers,2026
6,199,Chargers,Chargers,2025
6,200,Browns,Vikings,2025
6,201,Rams,Rams,2025
6,202,Rams,Texans,2025
6,203,Ravens,Ravens,2025
6,204,Cowboys,Lions,2025
6,205,Commanders,Commanders,2025
6,206,Bills,Bills,2025
6,207,Jets,Chiefs,2025
6,208,Broncos,Eagles,2025
6,209,Chargers,Chargers,2025
6,210,Ravens,Ravens,2025
6,211,Cowboys,Cowboys,2025
6,212,Ravens,Ravens,2025
6,213,Raiders,Raiders,2025
6,214,Chargers,Chargers,2025
6,215,Raiders,Raiders,2025
6,216,Texans,Browns,2025
7,217,Cowboys,Titans,2025
7,218,Falcons,Browns,2025
7,219,Giants,Giants,2025
7,220,Patriots,Patriots,2025
7,221,Jaguars,Jaguars,2025
7,222,Raiders,Raiders,2025
7,223,Seahawks,Saints,2025
7,224,Dolphins,Bears,2025
7,225,Cardinals,Jets,2025
7,226,Chiefs,Panthers,2025
7,227,49ers,49ers,2025
7,228,Lions,Cowboys,2025
7,229,Steelers,Falcons,2025
7,230,Panthers,Cardinals,2025
7,231,Dolphins,Dolphins,2025
7,232,Colts,Colts,2025
7,233,Bears,Bengals,2025
7,234,Seahawks,Seahawks,2025
7,235,Buccaneers,Buccaneers,2025
7,236,Texans,Broncos,2025
7,237,Packers,Steelers,2025
7,238,Patriots,Chargers,2025
7,239,Cowboys,Packers,2025
7,240,Bears,Vikings,2025
7,241,Texans,Texans,2025
7,242,Falcons,Rams,2025
7,243,Ravens,Ravens,2025
7,244,Lions,Lions,2025
7,245,Commanders,Commanders,2025
7,246,Giants,Bills,2025
7,247,Cowboys,Chiefs,2025
7,248,Saints,Eagles,2025
7,249,49ers,49ers,2025
7,250,Packers,Packers,2025
7,251,Chiefs,Chiefs,2025
7,252,49ers,49ers,2025
7,253,Dolphins,Dolphins,2025
7,254,Saints,Saints,2025
7,255,Texans,Browns,2025
7,256,Chargers,Chargers,2025
7,257,Chiefs,Chiefs,2025